-80.89, 35.13
-80.78, 35.12
-80.75, 35.4
-80.78, 35.19
-80.85, 35.18
-80.84, 35.08
-80.95, 35.27
-80.77, 35.23
-80.9, 35.11
-80.74, 35.33
-80.83, 35.15
-80.83, 35.17
-80.75, 35.34
-80.81, 35.31
-80.9, 35.04
-80.88, 35.15
-80.96, 35.17
-80.73, 35.19
-80.73, 35.21
-80.74, 35.21
-80.84, 35.16
-80.89, 35.16
-80.82, 35.23
-80.85, 35.27
-80.84, 35.23
-80.78, 35.23
-80.84, 35.25
-80.86, 35.22
-80.76, 35.22
-80.77, 35.19
-80.8, 35.19
-80.76, 35.28
-80.85, 35.25
-80.87, 35.24
-80.82, 35.22
-80.8, 35.25
-80.79, 35.28
-80.86, 35.3
-80.85, 35.26
-80.74, 35.23
-80.82, 35.33
-80.81, 35.38
-80.86, 35.15
-80.79, 35.1
-80.81, 35.25
-80.78, 35.28
-80.84, 35.4
-80.94, 35.09
-80.8, 35.29
-80.89, 35.22
-80.78, 35.24
-80.78, 35.16
-80.82, 35.2
-80.74, 35.2
-80.73, 35.14
-80.77, 35.2
-80.84, 35.34
-80.73, 35.25
-80.79, 35.3
-80.75, 35.1
-80.79, 35.18
-80.76, 35.13
-80.9, 35.31
-80.89, 35.23
-80.84, 35.11
-80.8, 35.24
-80.89, 35.28
-80.86, 35.17
-80.78, 35.18
-80.9, 35.17
-80.75, 35.24
-80.81, 35.21
-80.89, 35.31
-80.8, 35.28
-80.9, 35.34
-80.94, 35.23
-80.85, 35.24
-80.85, 35.09
-80.76, 35.23
-80.85, 35.3
-80.81, 35.23
-80.85, 35.28
-80.76, 35.31
-80.85, 35.31
-80.99, 35.2
-80.92, 35.16
-80.89, 35.25
-80.77, 35.27
-80.85, 35.08
-80.9, 35.19
-80.85, 35.15
-80.84, 35.09
-80.8, 35.2
-80.75, 35.07
-80.78, 35.31
-80.82, 35.07
-80.91, 35.06
-80.77, 35.17
-80.98, 35.28
-80.73, 35.16
-80.92, 35.21
-80.85, 35.17
-80.9, 35.23
-80.88, 35.25
-80.94, 35.16
-80.82, 35.25
-80.87, 35.05
-80.9, 35.09
-80.8, 35.26
-80.77, 35.46
-80.96, 35.2
-80.84, 35.12
-80.75, 35.26
-80.79, 35.34
-80.74, 35.03
-80.91, 35.2
-80.78, 35.25
-80.73, 35.07
-80.9, 35.2
-80.81, 35.18
-80.95, 35.15
-80.67, 35.21
-80.67, 35.22
-80.87, 35.27
-80.83, 35.21
-80.83, 35.16
-80.73, 35.18
-80.88, 35.21
-80.77, 35.3
-80.89, 35.32
-80.75, 35.29
-80.92, 35.23
-80.79, 35.23
-80.9, 35.21
-80.77, 35.24
-80.8, 35.07
-80.76, 35.18
-80.81, 35.11
-80.88, 35.03
-80.96, 35.23
-80.84, 35.33
-80.85, 35.23
-80.78, 35.05
-80.86, 35.09
-80.88, 35.18
-80.8, 35.22
-80.87, 35.31
-80.92, 35.09
-80.99, 35.24
-80.83, 35.11
-80.94, 35.22
-80.73, 35.23
-80.84, 35.31
-80.82, 35.15
-80.72, 35.21
-80.88, 35.33
-80.82, 35.31
-80.81, 35.22
-80.98, 35.04
-80.83, 35.12
-80.85, 35.22
-80.98, 35.35
-80.88, 35.31
-80.75, 35.15
-80.86, 35.16
-80.84, 35.21
-80.96, 35.25
-80.8, 35.16
-80.88, 35.26
-80.89, 35.2
-80.9, 35.24
-80.85, 35.2
-80.84, 35.27
-80.89, 35.24
-80.67, 35.26
-80.75, 35.21
-80.73, 35.22
-80.96, 35.29
-80.77, 35.28
-80.91, 35.32
-80.72, 35.16
-80.76, 35.21
-80.91, 35.22
-80.78, 35.33
-80.93, 35.09
-80.82, 35.24
-80.82, 35.19
-80.72, 35.08
-80.83, 35.25
-80.81, 35.3
-80.82, 35.35
-80.77, 35.21
-80.88, 35.35
-80.94, 35.24
-80.66, 35.14
-80.82, 35.26
-80.92, 35.1
-80.83, 35.24
-80.8, 35.18
-80.81, 35.26
-80.82, 35.11
-80.98, 35.17
-80.9, 35.14
-80.79, 35.15
-80.9, 35.25
-80.87, 35.22
-80.84, 35.22
-80.83, 35.23
-80.72, 35.27
-80.84, 35.32
-80.86, 35.23
-80.84, 35.19
-80.8, 35.21
-80.75, 35.17
-80.78, 35.37
-80.74, 35.19
-80.78, 35.21
-80.76, 35.32
-80.92, 35.19
-80.84, 35.15
-80.82, 35.32
-80.84, 35.2
-80.81, 35.24
-80.89, 35.26
-80.64, 35.22
-80.73, 35.43
-80.71, 35.21
-80.75, 35.32
-80.75, 35.19
-80.91, 35.15
-80.82, 35.12
-80.74, 35.22
-80.87, 35.23
-80.74, 35.16
-80.73, 35.28
-80.87, 35.21
-80.91, 35.25
-80.75, 35.12
-80.89, 35.07
-80.76, 35.11
-80.81, 35.34
-80.8, 35.31
-80.82, 35.16
-80.8, 35.3
-80.77, 35.16
-80.88, 35.07
-80.76, 35.14
-80.89, 35.18
-80.73, 35.17
-80.86, 35.31
-80.93, 35.17
-80.79, 35.16
-80.79, 35.2
-80.76, 35.37
-80.76, 35.15
-80.72, 35.3
-80.93, 35.32
-80.97, 35.23
-80.77, 35.15
-80.74, 35.1
-80.74, 35.27
-80.86, 35.32
-80.84, 35.36
-80.85, 35.34
-80.77, 35.11
-80.86, 35.07
-80.75, 35.3
-80.88, 35.3
-80.83, 35.13
-80.78, 35.26
-80.78, 35.1
-80.75, 35.35
-80.91, 35.34
-80.76, 35.17
-80.77, 35.18
-80.86, 35.11
-80.73, 35.1
-80.84, 35.42
-80.91, 35.07
-80.72, 35.15
-80.83, 35.18
-80.88, 35.23
-80.88, 35.24
-80.82, 35.1
-80.76, 35.07
-80.72, 35.22
-80.8, 35.09
-80.95, 35.26
-80.78, 35.14
